Date,Currency,Code,Nominal,Value
036,AUD,1,Австралийский доллар,"60,1412"
944,AZN,1,Азербайджанский манат,"53,6018"
051,AMD,100,Армянских драмов,"23,5017"
933,BYN,1,Белорусский рубль,"28,2789"
975,BGN,1,Болгарский лев,"49,8425"
986,BRL,1,Бразильский реал,"17,9645"
348,HUF,100,Венгерских форинтов,"25,2104"
410,KRW,1000,Вон Республики Корея,"66,9974"
704,VND,10000,Вьетнамских донгов,"37,5874"
344,HKD,1,Гонконгский доллар,"11,6735"
981,GEL,1,Грузинский лари,"34,0050"
208,DKK,1,Датская крона,"13,1647"
784,AED,1,Дирхам ОАЭ,"24,8123"
840,USD,1,Доллар США,"91,1231"
978,EUR,1,Евро,"98,3062"
818,EGP,10,Египетских фунтов,"19,0960"
356,INR,10,Индийских рупий,"10,9128"
360,IDR,10000,Индонезийских рупий,"56,8631"
398,KZT,100,Казахстанских тенге,"20,7367"
124,CAD,1,Канадский доллар,"66,7031"
634,QAR,1,Катарский риал,"25,0338"
417,KGS,10,Киргизских сомов,"10,2888"
156,CNY,1,Китайский юань,"12,5962"
498,MDL,10,Молдавских леев,"51,4221"
554,NZD,1,Новозеландский доллар,"54,7878"
934,TMT,1,Новый туркменский манат,"26,0352"
578,NOK,10,Норвежских крон,"84,1691"
985,PLN,1,Польский злотый,"22,7489"
946,RON,1,Румынский лей,"19,7010"
960,XDR,1,СДР (специальные права заимствования),"120,5103"
941,RSD,100,Сербских динаров,"83,7920"
702,SGD,1,Сингапурский доллар,"67,3938"
972,TJS,10,Таджикских сомони,"83,4453"
764,THB,10,Таиландских батов,"24,7759"
949,TRY,10,Турецких лир,"28,2524"
860,UZS,10000,Узбекских сумов,"72,0448"
980,UAH,10,Украинских гривен,"23,1535"
826,GBP,1,Фунт стерлингов Соединенного королевства,"114,3230"
203,CZK,10,Чешских крон,"39,2383"
752,SEK,10,Шведских крон,"84,4682"
756,CHF,1,Швейцарский франк,"100,3669"
710,ZAR,10,Южноафриканских рэндов,"49,3296"
392,JPY,100,Японских иен,"59,1516"
